Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
17928776946,"Mar 31, 2026, 5:45:57 PM",Morning Run,Run,,2741,8.72,150.0,263,,,,activities/19028800138.fit.gz,,,2741.0,2737.0,8725.0,4.2,3.188,41.3,41.3,559.0,577.7,7.5,0.0,,,82.0,79.0,150.0,138.0,,,416.0,,,263.0,,,,,,,,,,,,,0.0,,1.0,8780.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.183,158.6,,,,7238.0,0.0,,,,3.208,,,,,,,,,,,,""
17892944806,"Mar 28, 2026, 5:28:32 PM",Morning Run,Run,One of the runs of all time,8959,28.97,181.0,1120,,,,activities/18992585569.fit.gz,,,8959.0,8694.0,28978.0,4.46,3.333,353.4,350.0,524.0,688.8,12.1,0.0,,,83.0,80.0,181.0,159.0,,,1553.0,,,1120.0,,,,,,,,,,,,,0.0,,1.0,29769.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.235,2969.1,,,,23108.0,0.0,,,,3.424,,,0.0,0.0,,,,0.0,,,,""
17871490539,"Mar 26, 2026, 11:06:22 PM",Afternoon Run,Run,,1913,6.31,146.0,180,,,,activities/18970999112.fit.gz,,,1913.0,1913.0,6311.6,4.58,3.299,34.4,34.1,559.1,577.6,6.8,0.0,,,82.0,79.0,146.0,136.0,,,291.0,,,180.0,,,,,,,,,,,,,0.0,,1.0,6356.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.299,230.6,,,,5056.0,0.0,,,,3.323,,,,,,,,,,,,""
17860222249,"Mar 25, 2026, 7:26:56 PM",Lunch Run,Run,,4010,13.83,164.0,419,,,,activities/18959733776.fit.gz,,,4010.0,3890.0,13830.3,5.12,3.555,44.4,44.7,572.0,587.6,6.7,0.0,,,83.0,80.0,164.0,145.0,,,629.0,,,419.0,,,,,,,,,,,,,0.0,,1.0,13878.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.449,28.2,,,,10390.0,0.0,,,,3.568,,,,,,,,,,,,""
17843284031,"Mar 24, 2026, 4:37:41 PM",Morning Run,Run,,2117,6.47,141.0,185,,,,activities/18942751617.fit.gz,,,2117.0,2117.0,6475.2,3.8,3.059,33.2,32.9,559.0,577.7,9.2,0.0,,,82.0,80.0,141.0,131.0,,,286.0,,,185.0,,,,,,,,,,,,,0.0,,1.0,6527.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.059,127.8,,,,5620.0,0.0,,,,3.083,,,,,,,,,,,,""
17810529430,"Mar 21, 2026, 6:00:29 PM",Lunch Run,Run,,838,2.31,144.0,74,,,,activities/18909755060.fit.gz,,,838.0,832.0,2315.6,3.875,2.783,8.1,83.6,479.8,564.3,8.7,-3.3,,,94.0,83.0,144.0,132.0,,,125.0,,,74.0,,,,,,,,,,,,,0.0,,1.0,2245.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.763,1072.6,,,,2316.0,0.0,,,,2.699,,,,,,,,,,,,""
17810529444,"Mar 21, 2026, 3:43:12 PM",Morning Run,Run,,7690,23.33,181.0,833,,,,activities/18909755128.fit.gz,,,7690.0,7208.0,23331.6,4.96,3.237,520.5,521.6,474.3,676.8,40.8,0.0,,,94.0,81.0,181.0,150.0,,,1202.0,,,833.0,,,,,,,,,,,,,0.0,,1.0,25178.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.034,13339.3,,,,19312.0,0.0,,,,3.493,,,,,,,,,,,,""
17781144417,"Mar 19, 2026, 4:08:34 PM",Morning Run,Run,,2546,8.42,162.0,277,,,,activities/18880127406.fit.gz,,,2546.0,2531.0,8420.6,4.317,3.327,38.2,37.9,559.0,578.6,10.1,0.0,,,84.0,80.0,162.0,146.0,,,450.0,,,277.0,,,,,,,,,,,,,0.0,,1.0,8472.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.307,87.4,,,,6804.0,0.0,,,,3.347,,,,,,,,,,,,""
17771986794,"Mar 18, 2026, 8:12:34 PM",Afternoon Run,Run,,3494,12.90,173.0,443,,,,activities/18870904674.fit.gz,,,3494.0,3452.0,12901.0,4.85,3.737,63.0,63.4,566.1,599.8,6.8,0.0,,,85.0,81.0,173.0,158.0,,,681.0,,,443.0,,,,,,,,,,,,,0.0,,1.0,12972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.692,189.4,,,,9284.0,0.0,,,,3.758,,,,,,,,,,,,""
17756298898,"Mar 17, 2026, 4:22:20 PM",Morning Run,Run,,2442,8.11,152.0,249,,,,activities/18855178368.fit.gz,,,2442.0,2400.0,8116.0,3.975,3.382,31.9,31.9,572.0,582.6,13.3,0.0,,,84.0,80.0,152.0,143.0,,,394.0,,,249.0,,,,,,,,,,,,,0.0,,1.0,8160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.324,542.7,,,,6358.0,0.0,,,,3.4,,,,,,,,,,,,""
17734415661,"Mar 15, 2026, 3:30:02 PM",Morning Run,Run,,5661,21.27,180.0,777,,,,activities/18833191351.fit.gz,,,5661.0,5598.0,21269.9,5.014,3.8,141.8,139.8,520.6,580.1,7.6,0.0,,,86.0,81.0,180.0,165.0,,,1142.0,,,777.0,,,,,,,,,,,,,0.0,,1.0,21459.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.757,153.5,,,,15136.0,0.0,,,,3.833,,,,,,,,,,,,""
17732934140,"Mar 15, 2026, 3:06:06 PM",Morning Run,Run,,453,1.25,141.0,37,,,,activities/18831692908.fit.gz,,,453.0,453.0,1253.2,3.387,2.766,2.8,8.0,569.1,577.6,3.8,-0.4,,,80.0,78.0,141.0,130.0,,,67.0,,,37.0,,,,,,,,,,,,,0.0,,1.0,1249.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.766,89.8,,,,1168.0,0.0,,,,2.758,,,,,,,,,,,,""
17698030732,"Mar 12, 2026, 3:14:38 PM",Morning Run,Run,"",1846,6.61,,,,,,activities/17698030732.gpx,,,1846.0,1846.0,6617.2,5.0,3.585,101.8,103.4,20.3,64.4,32.1,0.1,,,,,,,,,596.0,,,,,,,,,,,,,,,,0.0,,1.0,6894.3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.585,0.0,,,,4910.0,0.0,,,,3.735,,,,,,,,,,,,""
17631023537,"Mar 7, 2026, 12:52:24 AM",Afternoon Run,Run,Huge thanks to my sponsor [strava://athletes/63176441/15]Daniel Champlin. Use code Daniel at checkout for 20% off. #ad #sponsor,7588,24.15,181.0,1016,,,,activities/18729038975.fit.gz,,,7588.0,7457.0,24152.7,4.375,3.239,129.7,129.6,569.2,638.4,14.9,0.0,,,86.0,79.0,181.0,163.0,,,1479.0,,,1016.0,,,,,,,,,,,,,0.0,,1.0,24379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.183,3693.5,,,,19518.0,0.0,,,,3.269,,,0.0,0.0,,,,0.0,,,,""
17607378413,"Mar 4, 2026, 11:02:44 PM",Afternoon Run,Run,,2374,7.18,152.0,203,,,,activities/18705257444.fit.gz,,,2374.0,2138.0,7188.0,4.571,3.362,24.7,24.8,572.0,580.0,15.0,0.0,,,83.0,80.0,152.0,137.0,,,328.0,,,203.0,,,,,,,,,,,,,0.0,,1.0,7224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.028,0.0,,,,5678.0,0.0,,,,3.379,,,,,,,,,,,,""
17595600376,"Mar 4, 2026, 1:13:08 AM",Afternoon Run,Run,,1137,3.29,136.0,92,,,,activities/18693502243.fit.gz,,,1137.0,1137.0,3293.7,4.68,2.897,27.9,17.4,559.1,579.6,11.5,0.3,,,80.0,78.0,136.0,127.0,,,155.0,,,92.0,,,,,,,,,,,,,0.0,,1.0,3346.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.897,132.0,,,,2960.0,0.0,,,,2.943,,,,,,,,,,,,""
17595455022,"Mar 4, 2026, 12:43:22 AM",Afternoon Run,Run,,1571,6.45,151.0,164,,,,activities/18693357135.fit.gz,,,1571.0,1571.0,6450.2,4.757,4.106,33.8,33.8,561.4,576.1,4.9,0.0,,,87.0,82.0,151.0,143.0,,,265.0,,,164.0,,,,,,,,,,,,,0.0,,1.0,6483.2,,,,,,,,,,,,,,,,,,,,,,,,,,,4.106,0.0,,,,4316.0,0.0,,,,4.127,,,,,,,,,,,,""
17595191209,"Mar 4, 2026, 12:15:02 AM",Afternoon Run,Run,,1127,3.45,129.0,81,,,,activities/18693092098.fit.gz,,,1127.0,1127.0,3457.4,3.7,3.068,11.8,26.0,559.0,577.7,3.9,-0.4,,,81.0,78.0,129.0,120.0,,,134.0,,,81.0,,,,,,,,,,,,,0.0,,1.0,3446.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.068,65.2,,,,2930.0,0.0,,,,3.058,,,,,,,,,,,,""
17582233451,"Mar 2, 2026, 11:30:57 PM",Afternoon Run,Run,,2116,6.63,147.0,196,,,,activities/18680087721.fit.gz,,,2116.0,2058.0,6631.0,4.66,3.222,40.6,40.5,559.0,577.6,8.8,0.0,,,82.0,79.0,147.0,137.0,,,303.0,,,196.0,,,,,,,,,,,,,0.0,,1.0,6687.3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.134,122.8,,,,5394.0,0.0,,,,3.249,,,,,,,,,,,,""
17557384613,"Feb 28, 2026, 7:34:13 PM",Lunch Run,Run,,4284,14.64,175.0,500,,,,activities/18655022873.fit.gz,,,4284.0,4208.0,14639.0,5.64,3.479,129.2,129.2,569.1,635.5,23.2,0.0,,,89.0,81.0,175.0,153.0,,,752.0,,,500.0,,,,,,,,,,,,,0.0,,1.0,14918.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.417,611.4,,,,11258.0,0.0,,,,3.545,,,,,,,,,,,,""
17536404959,"Feb 26, 2026, 11:57:48 PM",Afternoon Run,Run,,1667,5.52,148.0,158,,,,activities/18633896869.fit.gz,,,1667.0,1667.0,5526.9,4.167,3.315,23.6,23.4,572.0,580.1,11.5,0.0,,,82.0,79.0,148.0,137.0,,,255.0,,,158.0,,,,,,,,,,,,,0.0,,1.0,5565.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.315,0.0,,,,4386.0,0.0,,,,3.339,,,,,,,,,,,,""
17523496767,"Feb 25, 2026, 8:40:50 PM",Lunch Run,Run,,3398,11.00,174.0,376,,,,activities/18620947556.fit.gz,,,3398.0,3307.0,11005.7,4.133,3.328,33.2,33.1,572.0,580.3,9.0,0.0,,,82.0,79.0,174.0,149.0,,,574.0,,,376.0,,,,,,,,,,,,,0.0,,1.0,11051.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.239,134.4,,,,8732.0,0.0,,,,3.342,,,,,,,,,,,,""
17512914329,"Feb 25, 2026, 12:47:29 AM",Afternoon Run,Run,,1496,4.89,147.0,140,,,,activities/18610316936.fit.gz,,,1496.0,1496.0,4894.3,4.378,3.272,29.6,29.5,570.0,580.1,9.8,0.0,,,82.0,79.0,147.0,136.0,,,226.0,,,140.0,,,,,,,,,,,,,0.0,,1.0,4933.8,,,,,,,,,,,,,,,,,,,,,,,,,,,3.272,69.0,,,,3922.0,0.0,,,,3.298,,,,,,,,,,,,""
17476289612,"Feb 21, 2026, 6:31:11 PM",Morning Run,Run,,5828,19.33,174.0,703,,,,activities/18573519373.fit.gz,,,5828.0,5711.0,19334.4,4.957,3.385,188.0,187.9,527.6,582.2,14.1,0.0,,,84.0,80.0,174.0,155.0,,,1026.0,,,703.0,,,,,,,,,,,,,0.0,,1.0,19649.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.318,205.5,,,,15140.0,0.0,,,,3.441,,,,,,,,,,,,""
17453851158,"Feb 19, 2026, 7:15:51 PM",Lunch Run,Run,,1539,4.95,161.0,157,,,,activities/18550992857.fit.gz,,,1539.0,1536.0,4955.8,3.825,3.226,30.4,30.2,559.0,577.8,7.6,0.0,,,81.0,78.0,161.0,142.0,,,258.0,,,157.0,,,,,,,,,,,,,0.0,,1.0,5001.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,173.2,,,,4010.0,0.0,,,,3.256,,,,,,,,,,,,""
17445506354,"Feb 18, 2026, 11:54:41 PM",Afternoon Run,Run,,3195,10.64,178.0,401,,,,activities/18542614008.fit.gz,,,3195.0,3118.0,10644.3,4.083,3.414,39.0,38.6,572.0,582.5,15.6,0.0,,,82.0,79.0,178.0,159.0,,,614.0,,,401.0,,,,,,,,,,,,,0.0,,1.0,10698.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.332,1660.4,,,,8194.0,0.0,,,,3.431,,,,,,,,,,,,""
17430875009,"Feb 17, 2026, 6:14:34 PM",Morning Run,Run,,1628,5.47,147.0,159,,,,activities/18527967434.fit.gz,,,1628.0,1628.0,5470.2,4.363,3.36,23.3,23.3,572.0,580.1,7.5,0.0,,,82.0,80.0,147.0,139.0,,,260.0,,,159.0,,,,,,,,,,,,,0.0,,1.0,5502.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,0.0,,,,4300.0,0.0,,,,3.38,,,,,,,,,,,,""
17399566207,"Feb 14, 2026, 8:17:15 PM",Lunch Run,Run,Alright Daniel Larson,6882,20.66,,,,,,activities/17399566207.gpx,,,6882.0,6136.0,20667.5,5.65,3.368,151.4,151.2,528.3,582.0,19.1,0.0,,,,,,,,,1804.0,,,,,,,,,,,,,,,,0.0,,1.0,20883.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.003,267.0,,,,15856.0,0.0,,,,3.403,,,,,,,,,,,,""
17376407682,"Feb 12, 2026, 6:20:53 PM",Morning Run,Run,"",1598,5.55,,,,,,activities/17376407682.gpx,,,1598.0,1598.0,5554.2,5.58,3.476,24.0,24.0,572.0,580.1,26.3,0.0,,,,,,,,,484.0,,,,,,,,,,,,,,,,0.0,,1.0,5606.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.476,36.5,,,,4234.0,0.0,,,,3.508,,,,,,,,,,,,""
17368798614,"Feb 12, 2026, 12:08:48 AM",Afternoon Run,Run,"",2868,9.72,,,,,,activities/17368798614.gpx,,,2868.0,2792.0,9726.8,5.24,3.484,36.0,36.0,572.0,582.9,25.3,0.0,,,,,,,,,846.0,,,,,,,,,,,,,,,,0.0,,1.0,9798.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.391,751.6,,,,7246.0,0.0,,,,3.509,,,,,,,,,,,,""
17353646100,"Feb 10, 2026, 5:58:29 PM",Morning Run,Run,"",1575,5.78,,,,,,activities/17353646100.gpx,,,1575.0,1570.0,5781.2,7.08,3.682,24.0,24.4,572.0,580.1,7.9,0.0,,,,,,,,,503.0,,,,,,,,,,,,,,,,0.0,,1.0,5822.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.671,18.0,,,,4124.0,0.0,,,,3.708,,,,,,,,,,,,""
17343884184,"Feb 9, 2026, 9:06:09 PM",Afternoon Run,Run,"",1625,5.49,,,,,,activities/17343884184.gpx,,,1625.0,1618.0,5493.4,5.26,3.395,20.4,20.7,563.6,577.7,18.4,0.0,,,,,,,,,480.0,,,,,,,,,,,,,,,,0.0,,1.0,5557.6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.381,112.8,,,,4276.0,0.0,,,,3.435,,,,,,,,,,,,""
17323684868,"Feb 8, 2026, 1:43:37 AM",Afternoon Run,Run,"",3424,9.94,,,,,,activities/17323684868.gpx,,,3424.0,3424.0,9939.5,6.41,2.903,53.0,53.3,559.0,577.6,8.9,0.0,,,,,,,,,865.0,,,,,,,,,,,,,,,,0.0,,1.0,10011.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.903,165.3,,,,8994.0,0.0,,,,2.924,,,,,,,,,,,,""
17298697083,"Feb 5, 2026, 7:07:20 PM",Lunch Run,Run,"",1333,5.12,,,,,,activities/17298697083.gpx,,,1333.0,1333.0,5127.6,5.9,3.847,20.0,19.9,569.1,584.1,7.0,0.0,,,,,,,,,446.0,,,,,,,,,,,,,,,,0.0,,1.0,5163.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.847,222.1,,,,3502.0,0.0,,,,3.873,,,,,,,,,,,,""
17290466733,"Feb 5, 2026, 12:50:45 AM",Afternoon Run,Run,"",574,1.53,,,,,,activities/17290466733.gpx,,,574.0,553.0,1534.9,3.78,2.776,13.1,6.8,572.8,580.8,28.0,0.3,,,,,,,,,136.0,,,,,,,,,,,,,,,,0.0,,1.0,1574.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.674,0.0,,,,1360.0,0.0,,,,2.846,,,,,,,,,,,,""
17290384528,"Feb 5, 2026, 12:30:28 AM",Afternoon Run,Run,"",1091,4.65,,,,,,activities/17290384528.gpx,,,1091.0,1091.0,4649.5,7.78,4.262,20.4,16.3,575.9,580.1,4.8,0.1,,,,,,,,,403.0,,,,,,,,,,,,,,,,0.0,,1.0,4669.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4.262,0.0,,,,2932.0,0.0,,,,4.28,,,,,,,,,,,,""
17290200057,"Feb 5, 2026, 12:12:22 AM",Afternoon Run,Run,"",754,2.31,,,,,,activities/17290200057.gpx,,,754.0,751.0,2309.8,6.18,3.076,7.6,10.6,572.0,580.0,7.4,-0.1,,,,,,,,,202.0,,,,,,,,,,,,,,,,0.0,,1.0,2332.6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.063,16.5,,,,1928.0,0.0,,,,3.106,,,,,,,,,,,,""
17275033911,"Feb 3, 2026, 6:23:37 PM",Morning Run,Run,"",1604,5.12,,,,,,activities/17275033911.gpx,,,1604.0,1601.0,5126.5,7.675,3.202,30.0,29.9,559.0,577.6,11.4,0.0,,,,,,,,,447.0,,,,,,,,,,,,,,,,0.0,,1.0,5173.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.196,215.4,,,,4148.0,0.0,,,,3.231,,,,,,,,,,,,""
17242703034,"Jan 31, 2026, 7:58:17 PM",Lunch Run,Run,"",4798,14.19,,,,,,activities/17242703034.gpx,,,4798.0,4755.0,14197.9,5.36,2.986,150.6,150.4,523.9,579.7,12.2,0.0,,,,,,,,,1254.0,,,,,,,,,,,,,,,,0.0,,1.0,14517.1,1769886000.0,3.0,5.3,5.4,2.8,0.84,1025.7,0.9,2.4,24.0,0.0,1769872648.0,1769906981.0,0.375,,,0.0,1.0,0.99,16816.0,1.0,,,,,,2.959,827.3,,,,11650.0,0.0,,,,3.053,,,,,,,,,,,,""
17219009315,"Jan 29, 2026, 5:17:53 PM",Morning Run,Run,"",1642,5.47,,,,,,activities/17219009315.gpx,,,1642.0,1629.0,5470.2,5.42,3.358,32.4,32.4,571.2,593.4,7.2,0.0,,,,,,,,,476.0,,,,,,,,,,,,,,,,0.0,,1.0,5510.9,1769706000.0,3.0,1.3,2.3,0.1,0.92,1029.2,0.6,1.0,140.0,0.0,1769699993.0,1769734000.0,0.375,,,0.0,1.0,0.96,12190.0,0.0,,,,,,3.331,418.3,,,,4452.0,0.0,,,,3.383,,,,,,,,,,,,""
17212220650,"Jan 29, 2026, 12:57:15 AM",Afternoon Run,Run,"",2337,7.58,,,,,,activities/17212220650.gpx,,,2337.0,2320.0,7579.6,7.66,3.267,32.3,32.2,571.6,580.1,16.7,0.0,,,,,,,,,661.0,,,,,,,,,,,,,,,,0.0,,1.0,7655.9,1769644800.0,3.0,3.0,3.6,0.2,0.82,1029.2,1.1,2.3,35.0,0.0,1769613660.0,1769647493.0,0.375,,,0.0,1.0,0.84,22113.0,0.0,,,,,,3.243,115.9,,,,5890.0,0.0,,,,3.3,,,,,,,,,,,,""
17196956532,"Jan 27, 2026, 6:31:08 PM",Morning Run,Run,"",1691,5.55,,,,,,activities/17196956532.gpx,,,1691.0,1677.0,5552.1,6.42,3.311,34.3,34.3,571.2,593.4,13.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5606.3,1769536800.0,2.0,-2.2,-0.6,-5.7,0.77,1029.0,1.2,3.1,39.0,0.0,1769527334.0,1769561011.0,0.375,,,0.0,1.0,0.61,27265.0,1.0,,,,,,3.283,346.6,,,,4346.0,0.0,,,,3.343,,,,,,,,,,,,""
